date,open,high,low,close,volume
01/12/1993,12.2892,12.552,12.2209,12.4837,390100
02/12/1993,12.4837,12.4837,12.3523,12.3523,518000
03/12/1993,12.4153,12.4837,12.1525,12.2209,283200
06/12/1993,12.2892,12.4837,12.2892,12.4153,484400
07/12/1993,12.4153,12.6782,12.3523,12.6782,829300
08/12/1993,12.6151,12.6151,12.3523,12.4837,282300
09/12/1993,12.4153,12.4837,12.2209,12.4837,197700
10/12/1993,12.4153,12.4837,12.2892,12.4153,299500
13/12/1993,12.552,12.7465,12.4153,12.552,581000
14/12/1993,12.552,12.6151,12.4153,12.552,299700
15/12/1993,12.6151,12.6151,12.4837,12.4837,383500
16/12/1993,12.4837,12.6151,12.3523,12.4837,615100
17/12/1993,12.4153,12.4837,12.3523,12.4837,434900
20/12/1993,12.552,12.6151,12.4837,12.6151,363900
21/12/1993,12.552,12.6151,12.2892,12.3523,510200
22/12/1993,12.3523,12.3523,12.2209,12.3523,387000
23/12/1993,12.2892,12.552,12.2892,12.552,343700
27/12/1993,12.4837,12.6782,12.4837,12.6151,525600
28/12/1993,12.6151,12.8148,12.552,12.6151,608400
29/12/1993,12.6782,12.8779,12.6151,12.8779,544800
30/12/1993,12.8779,13.1407,12.8779,12.941,356800
31/12/1993,13.0776,13.6033,13.0093,13.3404,619900
03/01/1994,13.4035,13.7977,13.3404,13.7294,1537200
04/01/1994,13.5349,13.6033,13.0776,13.5349,1334200
05/01/1994,13.5349,13.5349,13.0776,13.5349,2150900
06/01/1994,13.4035,13.4035,12.941,13.0776,998900
07/01/1994,13.1407,13.1407,12.941,13.1407,426500
10/01/1994,13.1407,13.1407,13.0093,13.0776,581800
11/01/1994,13.0093,13.0776,12.941,13.0776,990300
12/01/1994,13.2038,13.3404,13.0776,13.3404,408600
13/01/1994,13.3404,13.3404,13.0776,13.2038,458300
14/01/1994,13.3404,13.6033,13.2721,13.4666,512200
17/01/1994,13.6033,13.6663,13.3404,13.6033,669200
18/01/1994,13.6033,13.6033,13.3404,13.4035,578200
19/01/1994,13.4035,13.4035,13.1407,13.3404,546500
20/01/1994,13.3404,13.4666,13.2721,13.4666,398200
21/01/1994,13.4666,13.4666,13.3404,13.4666,311600
24/01/1994,13.4035,13.4666,13.2721,13.4666,527400
25/01/1994,13.4666,13.4666,13.3404,13.4035,269500
26/01/1994,13.4922,13.6198,13.4231,13.556,399000
27/01/1994,13.556,13.6889,13.556,13.6889,238400
28/01/1994,13.6889,13.8856,13.6889,13.8218,573800
31/01/1994,13.8218,13.8856,13.6889,13.758,326900
01/02/1994,13.6198,13.6889,13.2902,13.6198,371100
02/02/1994,13.556,13.758,13.4231,13.758,356000
03/02/1994,13.1573,13.2902,12.8223,13.0881,805600
04/02/1994,13.0881,13.0881,12.6948,12.8223,625800
07/02/1994,12.6948,12.9606,12.6948,12.8914,389900
08/02/1994,13.0244,13.2902,12.9606,13.2902,200700
09/02/1994,13.1573,13.2264,13.0244,13.0881,190100
10/02/1994,13.0244,13.0881,12.8914,13.0244,277800
11/02/1994,12.9606,13.0244,12.8223,12.9606,167900
14/02/1994,13.0881,13.0881,13.0244,13.0881,189400
15/02/1994,13.0881,13.1573,12.9606,13.0244,280000
16/02/1994,12.9606,12.9606,12.7585,12.8914,278200
17/02/1994,12.8914,12.9606,12.5565,12.6948,317400
18/02/1994,12.7585,12.7585,12.5565,12.7585,227500
22/02/1994,12.6948,12.7585,12.5565,12.6948,354400
23/02/1994,12.6948,12.6948,12.2907,12.4927,350700
24/02/1994,12.4927,12.4927,12.0249,12.1631,310500
25/02/1994,11.6953,11.9611,11.0308,11.9611,1141100
28/02/1994,11.9611,12.094,11.6953,11.6953,773400
01/03/1994,11.6953,11.7591,11.2966,11.4933,688300
02/03/1994,11.2275,11.6953,11.2275,11.4295,831200
03/03/1994,11.3657,11.3657,10.9617,11.2966,467900
04/03/1994,11.2966,11.3657,11.0308,11.0308,842600
07/03/1994,11.0999,11.1637,10.9617,11.0308,527700
08/03/1994,11.1637,11.1637,10.8341,11.0308,634800
09/03/1994,11.0999,11.1637,10.765,10.8341,532000
10/03/1994,10.8341,10.8341,10.4992,10.765,679100
11/03/1994,10.8341,10.8341,10.6321,10.765,353500
14/03/1994,10.8341,10.8979,10.6959,10.765,766900
15/03/1994,10.8341,10.8979,10.6321,10.6959,471900
16/03/1994,10.6959,10.765,10.2334,10.2334,647900
17/03/1994,10.4301,10.6321,10.3663,10.5683,947500
18/03/1994,10.5683,10.5683,10.4301,10.5683,634000
21/03/1994,10.5683,10.6321,10.4301,10.4992,324800
22/03/1994,10.4992,10.4992,10.3663,10.4992,353500
23/03/1994,10.4992,10.5683,10.3663,10.4301,488600
24/03/1994,10.4301,10.4301,10.1643,10.3025,527100
25/03/1994,10.2334,10.3025,10.0367,10.1643,557900
28/03/1994,10.1005,10.1643,9.7018,9.8347,550300
29/03/1994,9.7018,9.7709,9.5689,9.5689,558900
30/03/1994,8.6386,9.3031,8.6386,9.0373,2241700
31/03/1994,8.9735,8.9735,7.7721,8.0379,4510200
04/04/1994,7.3096,7.5754,6.8471,6.9109,3055400
05/04/1994,7.1767,7.9103,7.1129,7.8412,5321300
06/04/1994,7.9103,8.107,7.3787,7.3787,4407000
07/04/1994,7.7083,7.9741,7.4425,7.9103,1752200
08/04/1994,8.2399,8.3037,7.8412,7.9741,2781700
11/04/1994,8.0379,8.3037,7.9103,8.107,1938100
12/04/1994,8.107,8.3728,8.0379,8.107,1846800
13/04/1994,8.1761,9.1702,7.9741,9.1702,2270200
14/04/1994,9.2393,9.3031,8.7715,8.7715,1892100
15/04/1994,8.8353,9.1011,8.7715,9.0373,715100
18/04/1994,9.0373,9.0373,8.7077,8.7715,644700
19/04/1994,8.7715,8.7715,8.4419,8.5695,724500
20/04/1994,8.5695,8.5695,8.3037,8.3728,838300
21/04/1994,8.4419,8.5057,7.9741,8.5057,533000
22/04/1994,8.6386,8.6386,8.3728,8.5057,471100
25/04/1994,8.5057,8.6386,8.4419,8.6386,280400
26/04/1994,8.7952,8.8655,8.5949,8.6599,399800
28/04/1994,8.7248,8.9305,8.6599,8.9305,580400
29/04/1994,8.8655,8.9954,8.6599,8.9954,323000
02/05/1994,9.1362,9.2661,9.0658,9.2011,621300
03/05/1994,9.2011,9.4068,9.2011,9.3364,520600
04/05/1994,9.4717,9.4717,9.3364,9.3364,481400
05/05/1994,9.4068,9.4068,8.9305,9.0658,575500
06/05/1994,8.9305,9.4284,8.7952,9.4068,1255000
09/05/1994,9.2661,9.4717,9.2661,9.2661,838600
10/05/1994,9.4068,9.5367,9.1362,9.2661,511900
11/05/1994,9.2661,9.3364,8.9305,8.9954,427900
12/05/1994,8.9954,9.0658,8.8655,8.9305,485200
13/05/1994,8.9305,9.0225,8.7952,8.9954,322200
16/05/1994,8.9954,9.1362,8.9954,9.1362,229100
17/05/1994,9.1362,9.2661,9.0658,9.2011,475300
18/05/1994,9.2011,9.2011,7.848,8.1186,2066100
19/05/1994,8.1186,8.9305,8.1186,8.8655,1383100
20/05/1994,8.8655,8.9954,8.6599,8.7952,522400
23/05/1994,8.5949,8.6869,8.3243,8.6599,674700
24/05/1994,8.5949,8.8655,8.5949,8.8655,332500
25/05/1994,8.7248,8.7952,8.5246,8.5949,309200
26/05/1994,8.5949,8.7248,8.4542,8.5949,479700
